DFS:
+---------+------+-------+
| Vértice | Pai  | Nível |
+------------------------+
|      Componente 1      |
+---------+------+-------+
|		2   | Null  |   0   |
|		8110		|		2		|		1		|
|		6075		|		8110		|		2		|
|		3159		|		6075		|		3		|
|		841		|		3159		|		4		|
|		4776		|		841		|		5		|
|		7552		|		4776		|		6		|
|		520		|		7552		|		7		|
|		9197		|		520		|		8		|
|		4978		|		9197		|		9		|
|		3694		|		4978		|		10		|
|		4178		|		3694		|		11		|
|		416		|		4178		|		12		|
|		1462		|		416		|		13		|
|		4863		|		1462		|		14		|
|		6936		|		4863		|		15		|
|		1501		|		6936		|		16		|
|		4549		|		1501		|		17		|
|		9642		|		4549		|		18		|
|		1656		|		9642		|		19		|
|		7642		|		1656		|		20		|
|		6223		|		7642		|		21		|
|		8518		|		6223		|		22		|
|		5440		|		8518		|		23		|
|		1293		|		5440		|		24		|
|		9500		|		1293		|		25		|
|		6021		|		9500		|		26		|
|		1328		|		6021		|		27		|
|		5714		|		1328		|		28		|
|		4119		|		5714		|		29		|
|		8027		|		4119		|		30		|
|		1735		|		8027		|		31		|
|		391		|		1735		|		32		|
|		4506		|		391		|		33		|
|		4146		|		4506		|		34		|
|		42		|		4146		|		35		|
|		8300		|		42		|		36		|
|		1597		|		8300		|		37		|
|		2825		|		1597		|		38		|
|		6941		|		2825		|		39		|
|		9041		|		6941		|		40		|
|		9788		|		9041		|		41		|
|		5930		|		9788		|		42		|
|		8702		|		5930		|		43		|
|		8060		|		8702		|		44		|
|		731		|		8060		|		45		|
|		1066		|		731		|		46		|
|		5486		|		1066		|		47		|
|		1744		|		5486		|		48		|
|		4799		|		1744		|		49		|
|		171		|		4799		|		50		|
|		4016		|		171		|		51		|
|		3928		|		4016		|		52		|
|		1250		|		3928		|		53		|
|		5210		|		1250		|		54		|
|		4027		|		5210		|		55		|
|		9924		|		4027		|		56		|
|		4867		|		9924		|		57		|
|		3513		|		4867		|		58		|
|		1578		|		3513		|		59		|
|		9920		|		1578		|		60		|
|		9407		|		9920		|		61		|
