~~ Arvore Geradora (BFS) ~~

Vertice: 10;		Pai: nullptr;		Nível: 0
Vertice: 590;		Pai: 10;		Nível: 1
Vertice: 639;		Pai: 10;		Nível: 1
Vertice: 644;		Pai: 10;		Nível: 1
Vertice: 504;		Pai: 10;		Nível: 1
Vertice: 66;		Pai: 10;		Nível: 1
Vertice: 739;		Pai: 10;		Nível: 1
Vertice: 34;		Pai: 10;		Nível: 1
Vertice: 522;		Pai: 10;		Nível: 1
Vertice: 581;		Pai: 10;		Nível: 1
Vertice: 675;		Pai: 10;		Nível: 1
Vertice: 549;		Pai: 10;		Nível: 1
Vertice: 775;		Pai: 10;		Nível: 1
Vertice: 901;		Pai: 10;		Nível: 1
Vertice: 61;		Pai: 10;		Nível: 1
Vertice: 670;		Pai: 10;		Nível: 1
Vertice: 513;		Pai: 10;		Nível: 1
Vertice: 906;		Pai: 10;		Nível: 1
Vertice: 861;		Pai: 10;		Nível: 1
Vertice: 526;		Pai: 10;		Nível: 1
Vertice: 462;		Pai: 10;		Nível: 1
Vertice: 314;		Pai: 10;		Nível: 1
Vertice: 5;		Pai: 10;		Nível: 1
Vertice: 53;		Pai: 10;		Nível: 1
Vertice: 927;		Pai: 10;		Nível: 1
Vertice: 852;		Pai: 10;		Nível: 1
Vertice: 112;		Pai: 10;		Nível: 1
Vertice: 612;		Pai: 10;		Nível: 1
Vertice: 254;		Pai: 10;		Nível: 1
Vertice: 15;		Pai: 10;		Nível: 1
Vertice: 943;		Pai: 10;		Nível: 1
Vertice: 151;		Pai: 10;		Nível: 1
Vertice: 47;		Pai: 10;		Nível: 1
Vertice: 899;		Pai: 10;		Nível: 1
Vertice: 765;		Pai: 10;		Nível: 1
Vertice: 895;		Pai: 10;		Nível: 1
Vertice: 489;		Pai: 10;		Nível: 1
Vertice: 527;		Pai: 10;		Nível: 1
Vertice: 119;		Pai: 590;		Nível: 2
Vertice: 851;		Pai: 590;		Nível: 2
Vertice: 484;		Pai: 590;		Nível: 2
Vertice: 630;		Pai: 590;		Nível: 2
Vertice: 554;		Pai: 590;		Nível: 2
Vertice: 932;		Pai: 590;		Nível: 2
Vertice: 870;		Pai: 590;		Nível: 2
Vertice: 386;		Pai: 590;		Nível: 2
Vertice: 887;		Pai: 590;		Nível: 2
Vertice: 250;		Pai: 590;		Nível: 2
Vertice: 631;		Pai: 590;		Nível: 2
Vertice: 655;		Pai: 590;		Nível: 2
Vertice: 419;		Pai: 590;		Nível: 2
Vertice: 939;		Pai: 590;		Nível: 2
Vertice: 864;		Pai: 590;		Nível: 2
Vertice: 196;		Pai: 590;		Nível: 2
Vertice: 629;		Pai: 590;		Nível: 2
Vertice: 460;		Pai: 590;		Nível: 2
Vertice: 559;		Pai: 590;		Nível: 2
Vertice: 127;		Pai: 590;		Nível: 2
Vertice: 25;		Pai: 590;		Nível: 2
Vertice: 941;		Pai: 590;		Nível: 2
Vertice: 757;		Pai: 590;		Nível: 2
Vertice: 731;		Pai: 590;		Nível: 2
Vertice: 674;		Pai: 590;		Nível: 2
Vertice: 917;		Pai: 590;		Nível: 2
Vertice: 772;		Pai: 590;		Nível: 2
Vertice: 797;		Pai: 590;		Nível: 2
Vertice: 190;		Pai: 590;		Nível: 2
Vertice: 505;		Pai: 590;		Nível: 2
Vertice: 638;		Pai: 590;		Nível: 2
Vertice: 310;		Pai: 590;		Nível: 2
Vertice: 562;		Pai: 590;		Nível: 2
Vertice: 875;		Pai: 590;		Nível: 2
Vertice: 202;		Pai: 639;		Nível: 2
Vertice: 44;		Pai: 639;		Nível: 2
Vertice: 676;		Pai: 639;		Nível: 2
Vertice: 713;		Pai: 639;		Nível: 2
Vertice: 792;		Pai: 639;		Nível: 2
Vertice: 267;		Pai: 639;		Nível: 2
Vertice: 22;		Pai: 639;		Nível: 2
Vertice: 660;		Pai: 639;		Nível: 2
Vertice: 378;		Pai: 639;		Nível: 2
Vertice: 251;		Pai: 639;		Nível: 2
Vertice: 651;		Pai: 639;		Nível: 2
Vertice: 704;		Pai: 639;		Nível: 2
Vertice: 881;		Pai: 639;		Nível: 2
Vertice: 224;		Pai: 639;		Nível: 2
Vertice: 963;		Pai: 639;		Nível: 2
Vertice: 799;		Pai: 639;		Nível: 2
Vertice: 13;		Pai: 639;		Nível: 2
Vertice: 957;		Pai: 639;		Nível: 2
Vertice: 642;		Pai: 639;		Nível: 2
Vertice: 255;		Pai: 639;		Nível: 2
Vertice: 414;		Pai: 639;		Nível: 2
Vertice: 58;		Pai: 639;		Nível: 2
Vertice: 878;		Pai: 639;		Nível: 2
Vertice: 872;		Pai: 639;		Nível: 2
Vertice: 485;		Pai: 639;		Nível: 2
Vertice: 172;		Pai: 639;		Nível: 2
Vertice: 543;		Pai: 639;		Nível: 2
Vertice: 898;		Pai: 639;		Nível: 2
Vertice: 410;		Pai: 639;		Nível: 2
Vertice: 415;		Pai: 639;		Nível: 2
Vertice: 960;		Pai: 639;		Nível: 2
Vertice: 184;		Pai: 639;		Nível: 2
Vertice: 89;		Pai: 644;		Nível: 2
Vertice: 764;		Pai: 644;		Nível: 2
Vertice: 492;		Pai: 644;		Nível: 2
Vertice: 715;		Pai: 644;		Nível: 2
Vertice: 26;		Pai: 644;		Nível: 2
Vertice: 351;		Pai: 644;		Nível: 2
Vertice: 498;		Pai: 644;		Nível: 2
Vertice: 791;		Pai: 644;		Nível: 2
Vertice: 156;		Pai: 644;		Nível: 2
Vertice: 62;		Pai: 644;		Nível: 2
Vertice: 667;		Pai: 644;		Nível: 2
Vertice: 709;		Pai: 644;		Nível: 2
Vertice: 298;		Pai: 644;		Nível: 2
Vertice: 422;		Pai: 644;		Nível: 2
Vertice: 467;		Pai: 644;		Nível: 2
Vertice: 576;		Pai: 644;		Nível: 2
Vertice: 162;		Pai: 644;		Nível: 2
Vertice: 494;		Pai: 644;		Nível: 2
Vertice: 658;		Pai: 644;		Nível: 2
Vertice: 539;		Pai: 644;		Nível: 2
Vertice: 524;		Pai: 644;		Nível: 2
Vertice: 728;		Pai: 644;		Nível: 2
Vertice: 99;		Pai: 644;		Nível: 2
Vertice: 753;		Pai: 644;		Nível: 2
Vertice: 142;		Pai: 504;		Nível: 2
Vertice: 109;		Pai: 504;		Nível: 2
Vertice: 424;		Pai: 504;		Nível: 2
Vertice: 599;		Pai: 504;		Nível: 2
Vertice: 758;		Pai: 504;		Nível: 2
Vertice: 633;		Pai: 504;		Nível: 2
Vertice: 31;		Pai: 504;		Nível: 2
Vertice: 216;		Pai: 504;		Nível: 2
Vertice: 236;		Pai: 504;		Nível: 2
Vertice: 341;		Pai: 504;		Nível: 2
Vertice: 966;		Pai: 504;		Nível: 2
Vertice: 438;		Pai: 504;		Nível: 2
Vertice: 270;		Pai: 504;		Nível: 2
Vertice: 88;		Pai: 504;		Nível: 2
Vertice: 506;		Pai: 504;		Nível: 2
Vertice: 45;		Pai: 504;		Nível: 2
Vertice: 96;		Pai: 504;		Nível: 2
Vertice: 677;		Pai: 504;		Nível: 2
Vertice: 3;		Pai: 504;		Nível: 2
Vertice: 52;		Pai: 504;		Nível: 2
Vertice: 388;		Pai: 504;		Nível: 2
Vertice: 454;		Pai: 504;		Nível: 2
Vertice: 16;		Pai: 504;		Nível: 2
Vertice: 620;		Pai: 504;		Nível: 2
Vertice: 90;		Pai: 504;		Nível: 2
